Model 7002.torch PR Points
Model 7001.torch PR Points
p = 0.0, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.010101010101010102, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.020202020202020204, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.030303030303030304, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.04040404040404041, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.05050505050505051, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.06060606060606061, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.07070707070707072, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.08080808080808081, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.09090909090909091, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.10101010101010102, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.11111111111111112, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.12121212121212122, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.13131313131313133, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.14141414141414144, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.15151515151515152, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.16161616161616163, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.17171717171717174, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.18181818181818182, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.19191919191919193, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.20202020202020204, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.21212121212121213, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.22222222222222224, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.23232323232323235, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.24242424242424243, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.25252525252525254, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.26262626262626265, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.27272727272727276, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.2828282828282829, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.29292929292929293, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.30303030303030304, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.31313131313131315, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.32323232323232326, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.33333333333333337, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.3434343434343435, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.3535353535353536, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.36363636363636365, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.37373737373737376, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.38383838383838387, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.393939393939394, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.4040404040404041, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.4141414141414142, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.42424242424242425, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.43434343434343436, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.4444444444444445, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.4545454545454546, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.4646464646464647, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.4747474747474748, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.48484848484848486, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.494949494949495, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
